Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
2,15013,725631.3000000004,773298.449999999,645,6,conv_MDG-b_10_n500_m50.txt,92.06019,774961.3125,199.79,193.63
3,6418,729038.7299999997,773736.6200000015,1142,16,conv_MDG-b_10_n500_m50.txt,162.457472,774961.3125,199.84,194.07
4,3670,724017.6699999997,772906.3500000009,1298,10,conv_MDG-b_10_n500_m50.txt,184.171205,774961.3125,199.73,193.43
5,9517,733119.5699999996,774285.8499999996,979,6,conv_MDG-b_10_n500_m50.txt,129.614368,774961.3125,199.91,194.6
6,2110,726731.3399999997,773639.580000001,1016,3,conv_MDG-b_10_n500_m50.txt,149.173398,774961.3125,199.83,193.78
7,2837,721756.1200000014,772370.1100000002,520,3,conv_MDG-b_10_n500_m50.txt,79.367536,774961.3125,199.67,193.13
8,10321,734450.4800000004,774096.850000002,738,13,conv_MDG-b_10_n500_m50.txt,85.801263,774961.3125,199.89,194.77
9,15953,722650.8499999987,773958.9299999994,764,4,conv_MDG-b_10_n500_m50.txt,107.636615,774961.3125,199.87,193.25
10,4558,716244.6400000011,772163.7099999997,743,4,conv_MDG-b_10_n500_m50.txt,99.779806,774961.3125,199.64,192.42
1,602,740838.1400000019,775280.4800000016,878,6,conv_MDG-b_11_n500_m50.txt,126.2649,777468875,100.1,100.1
2,20118,731945.6399999992,775678.4100000004,655,6,conv_MDG-b_11_n500_m50.txt,91.203043,777468875,100.1,100.09
3,4787,731026.1300000004,776357.330000001,1257,8,conv_MDG-b_11_n500_m50.txt,169.038291,777468875,100.1,100.09
4,11266,727509.7499999997,775369.8500000008,733,2,conv_MDG-b_11_n500_m50.txt,106.119368,777468875,100.1,100.09
5,1788,730710.8400000007,777468.7800000007,551,9,conv_MDG-b_11_n500_m50.txt,82.386979,777468875,100.1,100.09
6,1449,719698.0100000012,774361.0399999997,1442,5,conv_MDG-b_11_n500_m50.txt,201.607251,777468875,100.1,100.09
7,6359,728778.0199999979,774816.8600000003,619,5,conv_MDG-b_11_n500_m50.txt,89.095922,777468875,100.1,100.09
8,11513,723690.6100000001,777082.7600000013,511,3,conv_MDG-b_11_n500_m50.txt,80.492154,777468875,100.1,100.09
9,4199,731988.949999999,776432.110000001,1242,4,conv_MDG-b_11_n500_m50.txt,165.476979,777468875,100.1,100.09
10,12776,737218.7100000008,774924.72,512,3,conv_MDG-b_11_n500_m50.txt,77.381274,777468875,100.1,100.09
1,3439,712590.3400000009,771881.6700000007,515,3,conv_MDG-b_12_n500_m50.txt,76.229495,775492.9375,199.53,191.89
2,14040,726790.09,773332.7600000005,1196,7,conv_MDG-b_12_n500_m50.txt,167.471262,775492.9375,199.72,193.72
3,21875,726883.020000001,772294.1300000004,1690,6,conv_MDG-b_12_n500_m50.txt,227.780869,775492.9375,199.59,193.73
4,8261,721826.5299999996,771169,618,6,conv_MDG-b_12_n500_m50.txt,87.488259,775492.9375,199.44,193.08
5,22787,740834.36,771036.1999999989,516,5,conv_MDG-b_12_n500_m50.txt,74.875271,775492.9375,199.43,195.53
6,10070,729488.5999999997,771777.4200000007,777,6,conv_MDG-b_12_n500_m50.txt,100.33112,775492.9375,199.52,194.07
7,9326,723980.4799999992,772890.6300000002,521,8,conv_MDG-b_12_n500_m50.txt,78.905805,775492.9375,199.66,193.36
8,4553,729769.2400000008,771683.1400000026,988,12,conv_MDG-b_12_n500_m50.txt,122.27003,775492.9375,199.51,194.1
9,4047,725695.2700000006,772770.5000000001,662,7,conv_MDG-b_12_n500_m50.txt,98.585806,775492.9375,199.65,193.58
10,5789,723543.8699999994,772605.0199999987,644,6,conv_MDG-b_12_n500_m50.txt,97.853385,775492.9375,199.63,193.3
1,11503,729364.7900000002,779589.5800000019,530,3,conv_MDG-b_13_n500_m50.txt,77.139274,780191875,100.1,100.09
2,471,726281.6200000005,778604.2600000006,688,4,conv_MDG-b_13_n500_m50.txt,87.417505,780191875,100.1,100.09
3,9321,730346.4900000009,778215.5700000008,650,5,conv_MDG-b_13_n500_m50.txt,85.103663,780191875,100.1,100.09
4,8054,744795.7399999986,780191.7800000004,1183,7,conv_MDG-b_13_n500_m50.txt,155.865729,780191875,100.1,100.1
5,27466,726161.2200000006,779537.6799999996,503,2,conv_MDG-b_13_n500_m50.txt,74.398404,780191875,100.1,100.09
6,10213,729863.7999999999,775041.3699999999,514,3,conv_MDG-b_13_n500_m50.txt,81.072806,780191875,100.1,100.09
7,7747,723367.41,778066.3700000012,1005,10,conv_MDG-b_13_n500_m50.txt,138.462365,780191875,100.1,100.09
8,283,729865.3199999993,780191.7800000011,1004,7,conv_MDG-b_13_n500_m50.txt,136.517663,780191875,100.1,100.09
9,2078,730217.089999999,780191.7800000007,651,11,conv_MDG-b_13_n500_m50.txt,92.686288,780191875,100.1,100.09
10,4507,720832.3400000008,779870.8699999999,1267,8,conv_MDG-b_13_n500_m50.txt,178.554588,780191875,100.1,100.09
1,10082,729081.399999999,781382.289999999,538,6,conv_MDG-b_14_n500_m50.txt,78.743915,782232.75,199.89,193.21
2,11912,727217.0499999999,781679.0900000003,791,4,conv_MDG-b_14_n500_m50.txt,114.027667,782232.75,199.93,192.97
3,8779,725392.6900000012,782031.1000000014,633,7,conv_MDG-b_14_n500_m50.txt,90.23117,782232.75,199.97,192.73
4,3364,725498.6099999995,782232.6800000017,1312,9,conv_MDG-b_14_n500_m50.txt,188.336975,782232.75,200,192.75
5,9703,732623.15,782232.6800000004,854,10,conv_MDG-b_14_n500_m50.txt,117.853568,782232.75,200,193.66
6,2715,728204.8900000002,782232.6800000012,800,6,conv_MDG-b_14_n500_m50.txt,109.868166,782232.75,200,193.09
7,18276,740894.009999999,782232.6800000006,1233,8,conv_MDG-b_14_n500_m50.txt,177.650993,782232.75,200,194.72
8,854,744599.94,782232.6800000017,560,4,conv_MDG-b_14_n500_m50.txt,75.183346,782232.75,200,195.19
9,1333,729684.9400000009,781999.2500000005,729,8,conv_MDG-b_14_n500_m50.txt,99.387421,782232.75,199.97,193.28
10,2598,722059.8500000014,781679.0899999999,1950,12,conv_MDG-b_14_n500_m50.txt,270.454031,782232.75,199.93,192.31
1,4427,735393.0300000001,780300.3299999994,1090,9,conv_MDG-b_15_n500_m50.txt,153.485127,780300375,100.1,100.09
2,12232,726766.8800000016,780300.3299999998,996,5,conv_MDG-b_15_n500_m50.txt,148.757096,780300375,100.1,100.09
3,6425,722315.13,776304.7599999999,785,7,conv_MDG-b_15_n500_m50.txt,118.459634,780300375,100.1,100.09
4,16460,725855.7899999996,777583.6699999991,946,7,conv_MDG-b_15_n500_m50.txt,141.275351,780300375,100.1,100.09
5,901,732171.56,780300.3300000005,1251,12,conv_MDG-b_15_n500_m50.txt,163.397246,780300375,100.1,100.09
6,7088,725667.8700000003,776122.2000000011,639,6,conv_MDG-b_15_n500_m50.txt,94.720359,780300375,100.1,100.09
7,21866,735322.4800000021,780300.33,780,6,conv_MDG-b_15_n500_m50.txt,102.42421,780300375,100.1,100.09
8,8684,733279.6999999989,780300.3299999991,868,8,conv_MDG-b_15_n500_m50.txt,122.905171,780300375,100.1,100.09
9,2416,723675.0499999997,773600.79,762,3,conv_MDG-b_15_n500_m50.txt,110.975495,780300375,100.1,100.09
10,5539,719623.2500000007,776335.9500000007,730,5,conv_MDG-b_15_n500_m50.txt,114.291157,780300375,100.1,100.09
